Timestamp,Your Age,Gender,State you reside in,City you reside in,Product(s) you like/wish to purchase,Do you like to visit to parties more frequently?
09-06-2021 12:49,18-30,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,No
09-06-2021 12:51,30-45,Female,Uttar Pradesh,Tier 2,Books,No
09-06-2021 12:58,0-17,Male,Uttar Pradesh,Tier 2, Smartwatch,Yes
09-06-2021 13:08,45 and above,Female,Uttar Pradesh,Tier 3, Shoes,No
09-06-2021 13:08,0-17,Male,Uttar Pradesh,Tier 2,Smartwatch,Yes
09-06-2021 13:10,18-30,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,No
09-06-2021 13:11,18-30,Female,Uttar Pradesh,Tier 2,Books,No
09-06-2021 13:12,18-30,Male,Uttar Pradesh,Tier 1,Headphones/Earphones,Yes
09-06-2021 13:14,0-17,Male,Uttar Pradesh,Tier 2, Smartwatch,Yes
09-06-2021 13:15,18-30,Female,Uttar Pradesh,Tier 3,Books,No
09-06-2021 13:17,18-30,Female,New Delhi,Tier 1,Headphones/Earphones,Yes
09-06-2021 13:19,18-30,Female,Uttar Pradesh,Tier 2,OTT subscriptions,Yes
09-06-2021 13:20,0-17,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,No
09-06-2021 13:21,0-17,Male,Uttar Pradesh,Tier 2,Headphones/Earphone,Yes
09-06-2021 13:21,18-30,Male,Uttar Pradesh,Tier 2,Books,Yes
09-06-2021 13:22,0-17,Male,Uttar Pradesh,Tier 1, Smartwatch,Yes
09-06-2021 13:24,18-30,Female,Haryana,Tier 2,Shoes,No
09-06-2021 13:29,0-17,Male,New Delhi,Tier 2,Headphones/Earphones,Yes
09-06-2021 13:31,0-17,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
09-06-2021 13:37,0-17,Male,Uttar Pradesh,Tier 2,Books,No
09-06-2021 13:40,18-30,Female,New Delhi,Tier 1,Books,No
09-06-2021 13:43,18-30,Female,New Delhi,Tier 1,Headphones/Earphones,No
09-06-2021 13:44,18-30,Female,Uttar Pradesh,Tier 3, Shoes,Yes
09-06-2021 13:48,18-30,Female,New Delhi,Tier 1,Headphones/Earphones,Yes
09-06-2021 13:50,18-30,Female,Uttar Pradesh,Tier 2,Perfume,No
09-06-2021 13:52,18-30,Male,Uttar Pradesh,Tier 2,Shoes,Yes
09-06-2021 13:57,18-30,Female,Uttar Pradesh,Tier 2,Shoes,Yes
09-06-2021 13:58,18-30,Male,New Delhi,Tier 1,Books,Yes
09-06-2021 14:01,18-30,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,No
09-06-2021 14:06,30-45,Female,Karnataka,Tier 1,Books,Yes
09-06-2021 14:14,45 and above,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,No
09-06-2021 14:14,18-30,Female,Uttarakhand (Uttaranchal),Tier 2,Headphones/Earphones,Yes
09-06-2021 14:17,45 and above,Male,Uttar Pradesh,Tier 1,Headphones/Earphones ,Yes
09-06-2021 14:20,18-30,Female,Bihar,Tier 2,Headphones/Earphones,No
09-06-2021 14:32,18-30,Female,Uttarakhand (Uttaranchal),Tier 1,Shoes,No
09-06-2021 14:40,18-30,Female,Uttar Pradesh,Tier 2,Shoes,Yes
09-06-2021 14:40,18-30,Female,Uttar Pradesh,Tier 2,Books,Yes
